event,episode,original_obs,transformed_obs,info,timestamp,action,reward,terminated,truncated
reset,1,"[0.0, 0.0]","[0.0, 0.0]","{'reset': True, 'step': 0}",20250608_192523,,,,
step,1,"[1.0, 1.0]","[0.10000000149011612, 0.10000000149011612]","{'step': 1, 'custom_flag': False, 'pnl': -100.0, 'drawdown': -10.0, 'logs': 'Step 1, action=0'}",20250608_192523,0.0,-1.0,False,False
step,1,"[2.0, 2.0]","[0.20000000298023224, 0.20000000298023224]","{'step': 2, 'custom_flag': False, 'pnl': 0.0, 'drawdown': -0.0, 'logs': 'Step 2, action=1'}",20250608_192523,1.0,0.0,False,False
step,1,"[3.0, 3.0]","[0.30000001192092896, 0.30000001192092896]","{'step': 3, 'custom_flag': False, 'pnl': 500.0, 'drawdown': -50.0, 'logs': 'Step 3, action=2'}",20250608_192523,2.0,5.0,False,False
step,1,"[4.0, 4.0]","[0.4000000059604645, 0.4000000059604645]","{'step': 4, 'custom_flag': True, 'pnl': -500.0, 'drawdown': -50.0, 'logs': 'Step 4, action=3'}",20250608_192523,3.0,-5.0,False,False
step,1,"[5.0, 5.0]","[0.5, 0.5]","{'step': 5, 'custom_flag': False, 'pnl': 100.0, 'drawdown': -10.0, 'logs': 'Step 5, action=0'}",20250608_192523,0.0,1.0,False,True
