event,episode,original_obs,transformed_obs,info,timestamp,action,reward,terminated,truncated
reset,1,"[0.0, 0.0]","[0.0, 0.0]",{'reset': True},20250608_181152,,,,
step,1,"[1.0, -1.0]","[0.10000000149011612, -0.10000000149011612]",{'step': 1},20250608_181152,"[2.0, -2.0]",0.0,False,False
step,1,"[2.0, -2.0]","[0.20000000298023224, -0.20000000298023224]",{'step': 2},20250608_181152,"[2.0, -2.0]",0.0,False,False
step,1,"[3.0, -3.0]","[0.30000001192092896, -0.30000001192092896]",{'step': 3},20250608_181152,"[2.0, -2.0]",0.0,True,False
